MaxReturn,Perplexity,LossAfter,Entropy,AverageReturn,MinReturn,dLoss,ExplainedVariance,StdReturn,NumTrajs,MeanKL,Iteration,LossBefore,MeanKLBefore,AverageDiscountedReturn
19,10.7190917629,-0.0448582806682,2.37202642844,1.90909090909,0,0.0448582806682,7.55139839548e-10,3.61356489352,484,0.00698159790185,0,2.56392822254e-16,0.0,1.90909090909
20,10.6609948614,-0.0531451880462,2.36659174097,2.32340425532,0,0.0531451880462,-0.0347993528937,3.55169799164,470,0.00992971394723,1,1.70014167898e-17,0.0,2.32340425532
20,10.6402688022,-0.044464001912,2.36464574696,2.59488272921,0,0.044464001912,0.0229517573932,3.95740317779,469,0.006550803665,2,-6.65302187041e-19,-4.57753271946e-20,2.59488272921
28,10.4969974855,-0.0481975531337,2.35108926251,2.84533898305,0,0.0481975531337,0.0168730626455,4.25503434275,472,0.00663173809677,3,1.50770172238e-17,0.0,2.84533898305
20,10.3328185906,-0.0477385554503,2.33532510076,3.40948275862,0,0.0477385554503,-0.00473406143414,4.45528509185,464,0.00674565479284,4,-2.74368645626e-17,0.0,3.40948275862
20,10.0483051439,-0.0578496651573,2.30740397788,3.81489361702,0,0.0578496651573,0.0107414777694,4.9078520987,470,0.00977427540743,5,1.9825411154e-18,0.0,3.81489361702
28,9.7922368521,-0.0444664648675,2.2815899138,4.48523206751,0,0.0444664648675,0.0579422776128,5.24633619887,474,0.00643743478695,6,-2.11583368227e-17,-4.02194459989e-20,4.48523206751
33,9.49280591514,-0.0470822503094,2.25053423964,5.24675324675,0,0.0470822503094,0.046296488158,5.83871800884,462,0.00641445484401,7,-2.56141342011e-17,-8.53530517574e-21,5.24675324675
29,9.27800024634,-0.04582967444,2.22764603288,6.07505518764,0,0.04582967444,0.0782949136127,5.93925247146,453,0.00655362673255,8,3.51515224114e-17,0.0,6.07505518764
29,9.0001109716,-0.0449064053477,2.19723690744,6.05111111111,0,0.0449064053477,0.0833279787064,5.88252108547,450,0.00644115150774,9,-8.21359698298e-17,-7.64957141315e-21,6.05111111111
29,8.63682332793,-0.0436293292681,2.15603484483,6.91130820399,0,0.0436293292681,0.117151640372,6.1673721846,451,0.00655194441117,10,-2.193853881e-17,0.0,6.91130820399
33,8.4129814964,-0.047628047924,2.12977592916,7.05921052632,0,0.047628047924,0.0988010384,6.22202534363,456,0.00662013244691,11,-2.75823198378e-17,-2.0039437147e-20,7.05921052632
29,7.9921497775,-0.0556694002251,2.0784597821,7.34204793028,0,0.0556694002251,0.110541977858,6.29127737184,459,0.00991436421736,12,2.49779400225e-17,4.51205647509e-20,7.34204793028
29,7.73159473952,-0.0452683451759,2.04531514656,7.37796976242,0,0.0452683451759,0.115609274932,5.91495802957,463,0.00646978188975,13,1.07832803391e-16,0.0,7.37796976242
33,7.39788816578,-0.0435174696842,2.00119457648,8.47391304348,0,0.0435174696842,0.142912266039,6.89497090774,460,0.00665077142886,14,3.10197144708e-17,1.81072467172e-20,8.47391304348
28,7.09478132469,-0.044370437011,1.95935948909,8.29759299781,0,0.044370437011,0.170347312367,6.17390700331,457,0.00658716507234,15,7.394085344e-17,0.0,8.29759299781
33,6.88397307064,-0.0460354974476,1.92919596646,9.01923076923,0,0.0460354974476,0.167801470398,6.51671534559,468,0.0065210014386,16,-3.70074341542e-17,0.0,9.01923076923
29,6.74864734234,-0.0448971411093,1.90934209108,9.00214132762,0,0.0448971411093,0.138005847598,6.53781585087,467,0.0065933741026,17,-3.57796993718e-17,-1.72272907142e-21,9.00214132762
33,6.43077917384,-0.0443555730524,1.8610957088,9.75327510917,0,0.0443555730524,0.137231465133,7.05918833356,458,0.0065567794181,18,-2.4513147212e-16,3.36800471741e-20,9.75327510917
33,6.16974357703,-0.045946652494,1.81965727741,10.6615720524,0,0.045946652494,0.165062866868,7.31788257551,458,0.00660821058305,19,8.28855641356e-17,1.43096318416e-20,10.6615720524
33,6.03529185014,-0.0460902987382,1.79762421297,10.1017316017,0,0.0460902987382,0.0988956423769,7.18407007221,462,0.00657313849874,20,1.73576327027e-17,0.0,10.1017316017
33,5.86725080297,-0.0436100013189,1.76938617711,10.6530172414,0,0.0436100013189,0.129688889933,7.56653472818,464,0.00649833271614,21,4.56266475119e-17,0.0,10.6530172414
33,5.63392601299,-0.0441405901004,1.72880653713,11.3019693654,0,0.0441405901004,0.161222647785,7.45112862489,457,0.00642713935837,22,-5.32507671067e-18,0.0,11.3019693654
33,5.45642927751,-0.0566804721398,1.69679459734,11.0256410256,0,0.0566804721398,0.167559458858,7.38352467016,468,0.00999571845057,23,1.96856420054e-17,0.0,11.0256410256
42,5.28383752636,-0.0426862684387,1.66465263796,11.6334056399,0,0.0426862684387,0.171945625623,7.66617009267,461,0.00645059500657,24,-5.80476158194e-17,0.0,11.6334056399
33,5.10952066085,-0.0425719301202,1.63110559568,11.6331877729,0,0.0425719301202,0.166850586018,7.83570034405,458,0.00648228022273,25,1.55314737394e-18,3.35823566594e-20,11.6331877729
33,4.94387260499,-0.0422387369038,1.59814895223,12.3796095445,0,0.0422387369038,0.181879705737,7.82129141598,461,0.00647820973486,26,-2.80121222801e-17,0.0,12.3796095445
42,4.82168120595,-0.0402204266374,1.57312266516,13.1168831169,0,0.0402204266374,0.202150208108,8.42713719879,462,0.00646886851289,27,5.54834579655e-17,-5.53492513597e-22,13.1168831169
42,4.63195594428,-0.0511732622398,1.53297922906,12.1987179487,0,0.0511732622398,0.176638609837,8.5016990799,468,0.00998569295958,28,-4.30121351527e-17,0.0,12.1987179487
33,4.393005314,-0.0398346544094,1.48001357465,13.20995671,0,0.0398346544094,0.209343177884,8.39895816554,462,0.0064338592544,29,4.21845920673e-17,9.91642559453e-21,13.20995671
42,4.2726890878,-0.0485977374018,1.45224339197,13.344017094,0,0.0485977374018,0.187660838849,8.27099933604,468,0.00998434731761,30,3.75573698016e-17,0.0,13.344017094
42,4.07830977292,-0.0372573111832,1.40568263124,13.4630021142,0,0.0372573111832,0.205760319103,8.16551850572,473,0.0064507282304,31,-3.54450418554e-17,0.0,13.4630021142
42,4.10666228306,-0.0403092147917,1.412610602,13.6666666667,0,0.0403092147917,0.205177680709,8.47772344865,468,0.00650071498184,32,-1.39297126811e-17,2.70210166127e-20,13.6666666667
42,3.92689409581,-0.041490138037,1.36784880701,14.7934782609,0,0.041490138037,0.210466152526,8.42426366732,460,0.006401079425,33,-9.49003435196e-18,1.8669186105e-20,14.7934782609
33,3.89931261661,-0.0407077945643,1.36080028545,14.0642398287,0,0.0407077945643,0.198184575918,8.41382476168,467,0.00641096400449,34,-1.70696790036e-17,0.0,14.0642398287
42,3.7776473288,-0.0405231502803,1.32910141607,14.1525423729,0,0.0405231502803,0.1967351959,8.57309263132,472,0.00648482939889,35,9.1012791135e-17,0.0,14.1525423729
42,3.72129100812,-0.0390789949785,1.31407065327,14.9313304721,0,0.0390789949785,0.216715625242,8.73523310344,466,0.00649421040188,36,1.854526734e-17,0.0,14.9313304721
42,3.58406060326,-0.0372866878671,1.27649640436,13.9811320755,0,0.0372866878671,0.178295821656,9.07698614874,477,0.00641443877866,37,-5.24449266819e-18,3.62812733176e-22,13.9811320755
42,3.51401688911,-0.0492240567422,1.25675979599,14.1406926407,0,0.0492240567422,0.223275919816,8.2859938908,462,0.00999772480192,38,-5.13498955168e-17,0.0,14.1406926407
42,3.40248421052,-0.0499655866735,1.22450581498,14.9136069114,0,0.0499655866735,0.196577159829,8.87013874121,463,0.00990659670236,39,-3.22671560715e-17,-1.0052310528e-20,14.9136069114
42,3.39234496847,-0.0471970969725,1.22152141337,14.888172043,0,0.0471970969725,0.199860103938,8.96686672194,465,0.00994141168381,40,3.49473598116e-17,0.0,14.888172043
42,3.32581453001,-0.0400815431422,1.20171461554,15.7952069717,0,0.0400815431422,0.205400258851,8.55416542335,459,0.00648981630872,41,7.93611059842e-18,-4.11930241163e-20,15.7952069717
42,3.22502159668,-0.0380418344388,1.17093964687,15.1584582441,0,0.0380418344388,0.250147892308,8.64729712199,467,0.00648249463702,42,7.01412447983e-17,-2.99650084774e-20,15.1584582441
42,3.23384323163,-0.037722240578,1.17367128491,15.8369098712,0,0.037722240578,0.214309575375,9.08373128962,466,0.00644264908414,43,1.80411241502e-17,0.0,15.8369098712
42,3.18832526859,-0.0372501608757,1.15949578477,15.0021505376,0,0.0372501608757,0.200107086455,8.95712581703,465,0.00641781497766,44,3.35004952568e-17,0.0,15.0021505376
42,3.09336214539,-0.0386085227229,1.12925857233,15.8804347826,0,0.0386085227229,0.249495662353,8.83378198502,460,0.00646453383036,45,-1.29392101947e-17,0.0,15.8804347826
42,3.02132082802,-0.0381687916468,1.10569409604,15.2462526767,0,0.0381687916468,0.212179884796,8.56724014666,467,0.00642961721794,46,1.40716890347e-17,0.0,15.2462526767
42,2.98041569023,-0.0464516900825,1.09206278415,16.3173913043,0,0.0464516900825,0.222566133511,8.92695732642,460,0.00988819999618,47,2.16885936862e-17,0.0,16.3173913043
42,2.90165261794,-0.0453361116402,1.06528044293,16.5869565217,0,0.0453361116402,0.231556789265,9.40577086261,460,0.00992164118334,48,-2.82687971537e-17,0.0,16.5869565217
42,2.8337470978,-0.0383014101472,1.04159989868,16.0618336887,0,0.0383014101472,0.228556440901,9.05058124899,469,0.00640858186384,49,-2.71042965073e-17,0.0,16.0618336887
