ExplainedVariance,LossBefore,MaxReturn,dLoss,NumTrajs,MeanKL,AverageReturn,AverageDiscountedReturn,Perplexity,Entropy,MeanKLBefore,StdReturn,MinReturn,Iteration,LossAfter
6.15223594291e-09,-7.34930514804e-17,7,0.130228660672,463,0.0941520344915,0.969762419006,0.969762419006,10.9035925602,2.38909232761,7.63712338051e-21,1.25872906681,0,0,-0.130228660672
0.0943467793675,-5.67453486981e-17,7,0.155741166759,442,0.0702698909574,1.40271493213,1.40271493213,10.2639834542,2.32864101529,0.0,1.44140198694,0,1,-0.155741166759
0.104417444873,-9.46395739554e-17,7,0.158886584641,455,0.0645892222802,2.03736263736,2.03736263736,9.14998969572,2.21375275314,0.0,1.60655582404,0,2,-0.158886584641
0.242821222441,9.63302124987e-18,7,0.147778764692,467,0.0694624481142,2.67880085653,2.67880085653,7.87150342506,2.06324907659,0.0,1.59886210104,0,3,-0.147778764692
0.310538482416,4.55731998123e-17,8,0.13216406576,480,0.0647424099194,3.20625,3.20625,6.61985947193,1.89007414192,0.0,1.64099896532,0,4,-0.13216406576
0.376199515602,-3.85724940566e-18,8,0.138514527588,477,0.0671176577858,3.3857442348,3.3857442348,6.07393350669,1.80400641936,0.0,1.5920551311,0,5,-0.138514527588
0.464711979995,4.60167346037e-18,7,0.154350080883,459,0.0956623548012,3.85620915033,3.85620915033,5.60363139377,1.72341485075,8.50068668323e-21,1.57354892447,0,6,-0.154350080883
0.471507164513,2.83449395745e-17,8,0.125378904079,468,0.0646290357578,4.04487179487,4.04487179487,4.8289221724,1.57462329005,0.0,1.54840536411,0,7,-0.125378904079
0.465942642625,3.05560882402e-17,8,0.149722704694,471,0.0955978447901,4.10615711253,4.10615711253,4.51439764701,1.50727176645,0.0,1.60855736053,0,8,-0.149722704694
0.526132747807,1.19844164577e-17,8,0.13709891609,468,0.0920109045971,4.25,4.25,4.19338216268,1.43350760706,0.0,1.56739617494,0,9,-0.13709891609
0.503150400715,1.76803016672e-17,8,0.133848451656,471,0.0960833629574,4.25053078556,4.25053078556,3.94164065505,1.37159704655,0.0,1.57908125032,0,10,-0.133848451656
0.514732981932,1.72041558427e-18,8,0.13823183194,464,0.0953096985408,4.32543103448,4.32543103448,3.72691324865,1.31558034377,-1.13467959753e-20,1.45615512403,0,11,-0.13823183194
0.542904111797,-7.32941242724e-17,7,0.145269079623,461,0.0934826074467,4.46420824295,4.46420824295,3.50003321839,1.25277245942,-1.29686354998e-20,1.47477667415,0,12,-0.145269079623
0.534141622982,7.74136044623e-17,8,0.126532754211,462,0.0955482988913,4.6038961039,4.6038961039,3.26470788175,1.18317028912,0.0,1.49639754063,0,13,-0.126532754211
0.521523115179,-1.63760668917e-16,8,0.125030773475,467,0.0642454694529,4.52890792291,4.52890792291,3.13253018609,1.14184104416,0.0,1.54473599682,0,14,-0.125030773475
0.565273284951,-1.50871131374e-17,8,0.141367101661,465,0.0939858282833,4.77204301075,4.77204301075,2.95473079828,1.08340754629,-4.07888744762e-20,1.57113516878,0,15,-0.141367101661
0.52323144444,1.80203074684e-17,9,0.161165918265,466,0.0969363170511,4.65665236052,4.65665236052,2.80783819113,1.03241486026,0.0,1.57574451215,0,16,-0.161165918265
0.535129025925,-1.38708558459e-16,8,0.154394466187,466,0.0955058605322,4.67167381974,4.67167381974,2.65692539464,0.977169587589,0.0,1.54806129234,0,17,-0.154394466187
0.542009229044,3.4236616985e-17,8,0.141198147361,467,0.0948439618125,4.75374732334,4.75374732334,2.66976191708,0.981989298804,-9.01936194678e-23,1.5710720996,0,18,-0.141198147361
0.596820639367,-3.28903571045e-17,9,0.146982469576,467,0.0946384236632,4.82869379015,4.82869379015,2.60578251876,0.957733021176,0.0,1.55711773433,0,19,-0.146982469576
0.544555379459,-7.46130289078e-17,8,0.136072191073,469,0.0940059837032,4.73560767591,4.73560767591,2.5951083351,0.953628263377,0.0,1.54479340937,0,20,-0.136072191073
0.553864826154,1.39610545347e-17,8,0.141572025296,466,0.0993583279886,4.80472103004,4.80472103004,2.50349770327,0.917688835379,0.0,1.54699599094,0,21,-0.141572025296
0.584012385981,4.0639867514e-17,8,0.126353251988,460,0.0976157982078,5.01304347826,5.01304347826,2.37559035524,0.865245977225,1.49519830419e-20,1.51508482983,0,22,-0.126353251988
0.543304994293,1.56502320892e-17,8,0.120890753142,463,0.0970650711267,4.66306695464,4.66306695464,2.30052510033,0.833137401368,-7.29794942843e-21,1.57836236106,0,23,-0.120890753142
0.586644178882,9.24631850349e-17,8,0.138122496343,461,0.0941901935977,4.86334056399,4.86334056399,2.18603119712,0.782087660979,0.0,1.4145129816,0,24,-0.138122496343
0.575261582032,-1.04667864256e-16,9,0.125571295641,458,0.0961226665083,5.00218340611,5.00218340611,2.23693996706,0.805108845787,0.0,1.54764070097,0,25,-0.125571295641
0.609927250317,1.06279656017e-16,8,0.147417898815,450,0.0961021599463,5.08222222222,5.08222222222,2.20040480836,0.788641347236,-1.66498213543e-20,1.46966192468,1,26,-0.147417898815
0.584885493565,2.05339924575e-17,8,0.136785716991,462,0.0939050385727,5.00216450216,5.00216450216,2.13857789524,0.760141073196,-2.62139992932e-20,1.53811448882,0,27,-0.136785716991
0.590432185916,-4.64602693951e-17,9,0.13737423304,456,0.0946656617413,4.99780701754,4.99780701754,2.1921792097,0.784896121995,2.50145503642e-20,1.5832163902,0,28,-0.13737423304
0.593052622803,-6.63026743842e-18,8,0.147122792632,456,0.0986778851653,5.00657894737,5.00657894737,2.15323162656,0.766969795763,0.0,1.53538687561,0,29,-0.147122792632
0.601565454183,-1.0730305533e-16,8,0.139955051329,450,0.0931519897017,5.01555555556,5.01555555556,2.16614725398,0.772950130563,0.0,1.51062247001,1,30,-0.139955051329
0.606539385477,-2.56077402585e-17,8,0.111327568779,454,0.0655688766268,5.01101321586,5.01101321586,2.10613276007,0.744853450693,0.0,1.46391615718,0,31,-0.111327568779
0.598326005498,3.85875268484e-17,8,0.127536175636,450,0.0955590088941,5.18,5.18,2.12067626107,0.75173502889,1.64390537236e-20,1.49697472702,0,32,-0.127536175636
0.614378754179,-1.70974345792e-17,8,0.125190273159,449,0.0901038330487,5.0868596882,5.0868596882,2.15240287012,0.766584832082,0.0,1.45122056927,0,33,-0.125190273159
0.58040914112,6.60104513705e-17,8,0.141109317488,448,0.098178352407,4.94419642857,4.94419642857,2.15632773345,0.768406651444,-4.33169870124e-21,1.52479866258,0,34,-0.141109317488
0.58739494401,2.34023035161e-17,8,0.150966174526,446,0.0923934412647,4.94170403587,4.94170403587,2.1106497223,0.746995825348,0.0,1.49774442141,0,35,-0.150966174526
0.600846753736,2.34561961052e-17,9,0.137911597372,445,0.0963543234342,5.0808988764,5.0808988764,2.03828679141,0.71210964689,3.57743121564e-21,1.4878441084,0,36,-0.137911597372
0.630069986934,3.45297942957e-18,8,0.134801237002,446,0.0929269561819,5.13452914798,5.13452914798,2.05796747323,0.721718832248,-5.73437327411e-20,1.40461144039,0,37,-0.134801237002
0.659029944396,-1.14821966574e-17,8,0.128368243557,445,0.0929764761277,5.21348314607,5.21348314607,1.96559364514,0.675794309181,7.17514180055e-22,1.36136011064,1,38,-0.128368243557
0.578311533772,-6.11427172982e-17,8,0.161451853824,447,0.0924904855168,5.09172259508,5.09172259508,1.94528448182,0.665408229522,0.0,1.53208735506,0,39,-0.161451853824
0.578550449695,-4.92661467177e-19,9,0.138023171979,448,0.0922081097913,5.109375,5.109375,1.86742405009,0.6245599679,0.0,1.568126032,0,40,-0.138023171979
0.610782719158,5.64957357272e-17,8,0.17150031724,446,0.0918434590104,5.13228699552,5.13228699552,1.87300154987,0.627542250942,0.0,1.43404713389,0,41,-0.17150031724
0.598395255692,-3.82931210693e-17,8,0.119400149143,449,0.0877480413603,5.2271714922,5.2271714922,1.83851907871,0.608960399029,2.77682066928e-21,1.52399406948,0,42,-0.119400149143
0.617700482948,2.173863265e-17,8,0.106360369289,447,0.0646550339192,5.18344519016,5.18344519016,1.8177976162,0.597625667339,0.0,1.47078750034,0,43,-0.106360369289
0.610431774494,-5.55805228274e-17,8,0.141502134382,447,0.0973024373202,5.12751677852,5.12751677852,1.83600279364,0.607590813785,-2.01730844569e-20,1.47137606508,0,44,-0.141502134382
0.650197683576,-3.8447843268e-17,8,0.127342265986,448,0.0932451350234,5.32366071429,5.32366071429,1.80863376695,0.592571735366,0.0,1.37261903955,0,45,-0.127342265986
0.634972121728,2.39912256728e-18,8,0.121522740269,446,0.0940440223225,5.14573991031,5.14573991031,1.77181518545,0.572004549596,0.0,1.39788991033,0,46,-0.121522740269
0.643492896706,3.27314815562e-17,8,0.126433388053,446,0.0937719760397,5.2533632287,5.2533632287,1.77606172348,0.574398398177,-4.87308800647e-20,1.41767348347,0,47,-0.126433388053
0.644443112794,-4.52415882535e-18,8,0.112044911934,443,0.0948617731056,5.26636568849,5.26636568849,1.75093595094,0.560150474076,0.0,1.43211224509,0,48,-0.112044911934
0.629884383055,-1.91551588019e-17,8,0.118394213094,449,0.0909565851079,5.29175946548,5.29175946548,1.71199551335,0.537659657007,-6.70533112039e-22,1.47343175475,1,49,-0.118394213094
