Perplexity,MeanKLBefore,Iteration,StdReturn,NumTrajs,MaxReturn,LossAfter,dLoss,AverageDiscountedReturn,AverageReturn,ExplainedVariance,MeanKL,MinReturn,LossBefore,Entropy
11.2713835817,0.0,0,1.24843268931,285,6,-0.0580555977832,0.0580555977832,0.782186958194,0.79649122807,6.73830358178e-09,0.00949306837565,0,1.90897450244e-17,2.42226708731
11.1969960924,0.0,1,1.57193133203,295,6,-0.0592774605756,0.0592774605756,1.37105138386,1.44745762712,-0.0335035714905,0.00989394719844,0,-9.06700622009e-18,2.41564553629
11.1014882917,8.26131157808e-21,2,1.49060184508,310,7,-0.0510364988538,0.0510364988538,1.31994573504,1.4064516129,0.0418574169781,0.00924142237385,0,2.99842645236e-17,2.40707917966
10.9669394361,1.28727462088e-20,3,1.59455058805,311,7,-0.0402129980821,0.0402129980821,1.57815631495,1.68810289389,0.0800089903929,0.0065295041884,0,-1.30338355335e-16,2.39488524138
10.8083614767,0.0,4,1.52019455959,306,6,-0.0489955631171,0.0489955631171,1.71246350757,1.83006535948,0.0700994406466,0.00923163110729,0,-1.11465948027e-17,2.38032004538
10.6487730284,0.0,5,1.60296789791,323,7,-0.0392906103002,0.0392906103002,1.86378543609,1.98761609907,0.117608152839,0.006721690868,0,-3.87319270988e-18,2.36544467692
10.4486954072,0.0,6,1.61955346994,326,8,-0.0493772196003,0.0493772196003,1.95524924441,2.07668711656,0.133918107701,0.00985444926529,0,-1.72433591025e-17,2.3464771292
10.2210010516,2.26790717552e-20,7,1.73976443791,354,7,-0.0465437766675,0.0465437766675,1.98829106187,2.11299435028,0.128472349071,0.009971506476,0,-1.17654227054e-17,2.32444453023
9.97990249831,0.0,8,1.62057487781,362,7,-0.0353598469734,0.0353598469734,2.04453666931,2.16022099448,0.128201580692,0.00642441641515,0,7.98284737237e-17,2.30057332057
9.80894046748,-3.13225097518e-21,9,1.62564511989,351,7,-0.0372496191757,0.0372496191757,2.21380846341,2.34757834758,0.180260893921,0.00688814103131,0,-1.09220442373e-17,2.28329426239
9.49425857499,7.33194638046e-21,10,1.73623548106,364,7,-0.0388985814352,0.0388985814352,2.22099042185,2.3543956044,0.101233178112,0.00686270582855,0,4.8560117298e-17,2.25068725538
9.30122764663,-1.01508151215e-20,11,1.74331439213,357,8,-0.0390881104656,0.0390881104656,2.28217155133,2.42016806723,0.133371505876,0.00661008939604,0,-2.33337823425e-17,2.23014639646
9.15488244538,1.55547608219e-20,12,1.75326552497,363,8,-0.0381109567258,0.0381109567258,2.27465242458,2.41046831956,0.165202009394,0.00642138620652,0,-1.90901837776e-17,2.21428733756
9.04643199314,0.0,13,1.75929469263,377,8,-0.0361064774466,0.0361064774466,2.14547642048,2.27320954907,0.140564796507,0.00664217357763,0,2.64253033944e-17,2.20237042507
8.88833719881,0.0,14,1.72846980629,366,8,-0.0366466322583,0.0366466322583,2.47973825742,2.62841530055,0.213602034762,0.00655691940426,0,1.2782537821e-17,2.18473999028
8.64566509238,0.0,15,1.76922207096,385,7,-0.0401036576034,0.0401036576034,2.25330388053,2.38441558442,0.172721302011,0.0067216300267,0,-4.17617008763e-17,2.15705804994
8.42795747526,4.42983509358e-21,16,1.75398796046,360,7,-0.0374506788262,0.0374506788262,2.55464832215,2.71388888889,0.202476758999,0.00652296860683,0,-5.93485829485e-17,2.13155445028
8.35580705522,0.0,17,1.7430735873,383,8,-0.0376444044777,0.0376444044777,2.34593002164,2.48563968668,0.175179610673,0.00674188357129,0,2.82204815072e-17,2.12295675286
8.29489557741,-8.10166037609e-21,18,1.79862365011,377,8,-0.0384017047567,0.0384017047567,2.39824981622,2.54111405836,0.157572822135,0.00662210526346,0,-1.28800292939e-16,2.11564033494
8.06316513849,0.0,19,1.71635654488,361,7,-0.0392126011165,0.0392126011165,2.48570107303,2.63711911357,0.173615877762,0.00656665906269,0,8.45066190443e-18,2.08730617652
8.04951281832,0.0,20,1.83708348463,363,8,-0.0396107251682,0.0396107251682,2.57642151862,2.73278236915,0.215621710276,0.00648142084158,0,-2.91287900014e-18,2.08561157014
7.93016585625,0.0,21,1.82403397536,366,8,-0.0414934679197,0.0414934679197,2.54864046194,2.70765027322,0.182827092891,0.00670344242265,0,-6.00885325172e-17,2.07067395047
7.59428441684,0.0,22,1.84506606798,362,8,-0.0402090107014,0.0402090107014,2.74442471981,2.91436464088,0.195725594321,0.00690641705483,0,-2.17536225428e-17,2.02739591395
7.3498948505,0.0,23,1.81921759609,369,8,-0.0481895985563,0.0481895985563,2.74692112728,2.91327913279,0.238633996896,0.00996817205524,0,7.1775918542e-17,1.99468600707
7.16902656692,0.0,24,1.70103891207,363,8,-0.040500857533,0.040500857533,2.74225818015,2.91460055096,0.229633719219,0.00658301803922,0,-2.95245513172e-17,1.96976988067
7.05626489476,-4.51108018581e-20,25,1.73477904574,359,7,-0.0412432105004,0.0412432105004,2.75401927195,2.93314763231,0.242234998649,0.00644564295741,0,2.82199011003e-17,1.95391585977
6.9383332641,-4.61131176047e-20,26,1.74301958794,360,8,-0.039504824659,0.039504824659,2.85523622444,3.02777777778,0.248396306289,0.00658453404297,0,-2.98682410917e-17,1.937061582
6.74539233023,0.0,27,1.87424227113,352,8,-0.0410408658372,0.0410408658372,2.9389114504,3.125,0.214985698143,0.00643124311433,0,-1.55431223448e-18,1.90885965405
6.69381794135,0.0,28,1.755087579,342,8,-0.0394873821189,0.0394873821189,2.9656171164,3.15789473684,0.273205613965,0.00655610265421,0,3.38556451069e-17,1.90118440513
6.40737272878,0.0,29,1.78175824772,354,9,-0.0510453291621,0.0510453291621,2.98751882271,3.16949152542,0.256150598851,0.00985568253895,0,1.1595293366e-16,1.85744931621
6.1894074306,0.0,30,1.77234999077,350,8,-0.0387341034103,0.0387341034103,3.09488635522,3.28571428571,0.28691796234,0.00649465146238,0,4.63289011439e-17,1.822839352
6.01971046765,0.0,31,1.69917756174,348,8,-0.0382033347417,0.0382033347417,3.22192928456,3.41954022989,0.33173237569,0.00649553156756,0,-1.36421011018e-17,1.79503916309
5.82868470716,1.95487462229e-21,32,1.81462722682,340,8,-0.0406472964946,0.0406472964946,3.22924375317,3.43529411765,0.277038618804,0.00654055550771,0,9.88614794134e-17,1.76279136722
5.75261478292,-1.17205837609e-20,33,1.71791282951,350,8,-0.0426668143217,0.0426668143217,3.19089777369,3.38571428571,0.283062428668,0.00647017892258,0,4.24879666617e-18,1.7496544963
5.48397689964,2.80245079354e-20,34,1.77237734528,341,8,-0.0384222177187,0.0384222177187,3.36598808472,3.57771260997,0.348815748689,0.00641322507421,0,1.48648528253e-17,1.70183054937
5.47542978557,6.84380237115e-21,35,1.65982543608,348,8,-0.0483488524221,0.0483488524221,3.22603480851,3.41954022989,0.320087057983,0.00988874434678,0,-1.16316999034e-16,1.70027077227
5.24249765575,0.0,36,1.74873521036,341,8,-0.0492223650076,0.0492223650076,3.53129032612,3.74486803519,0.361049999701,0.00988381591435,0,-7.09124486787e-18,1.65679803663
5.13645985352,-3.33271988807e-20,37,1.71297659201,344,8,-0.0394025425098,0.0394025425098,3.51564926662,3.73255813953,0.325914212792,0.00646976736196,0,-1.07066112766e-17,1.63636409772
5.05141135917,3.7673209024e-20,38,1.72279273428,344,8,-0.0478423250238,0.0478423250238,3.53338598022,3.74709302326,0.37546078987,0.00984090447575,0,2.54778045062e-17,1.6196676813
4.84174983252,-1.5582204979e-20,39,1.66891589301,336,8,-0.038431287865,0.038431287865,3.63126825813,3.85416666667,0.349751095755,0.00654627409938,0,2.67096330357e-17,1.57727619103
4.8505820556,0.0,40,1.7711916781,331,9,-0.0463779134732,0.0463779134732,3.58939751107,3.81268882175,0.345212663863,0.00992678239687,0,4.10782519111e-17,1.57909870921
4.76135246531,0.0,41,1.64843427174,331,8,-0.0397883329981,0.0397883329981,3.57881852135,3.79758308157,0.379271305195,0.00643659837157,0,-8.01334800491e-18,1.56053175925
4.58463778908,2.60049367237e-20,42,1.72794895727,342,8,-0.0474151766378,0.0474151766378,3.47787038727,3.69005847953,0.357845974946,0.00987216354297,0,-6.04218062741e-17,1.52271110348
4.57567040078,0.0,43,1.57280281988,331,8,-0.0445895143119,0.0445895143119,3.69314088644,3.91842900302,0.358504297114,0.00973962069594,0,-0.0,1.52075322368
4.44364983094,0.0,44,1.74183947243,336,9,-0.0373004406706,0.0373004406706,3.70395501598,3.93154761905,0.363648099448,0.00642594104161,0,2.99460755893e-18,1.49147607275
4.33038494712,1.16705670334e-20,45,1.64214340059,340,8,-0.0373451671628,0.0373451671628,3.70541017184,3.92058823529,0.380626042466,0.00645735162312,0,5.26669157895e-17,1.4656564404
4.23113739561,-1.45621727148e-20,46,1.62568492715,337,8,-0.0467899343268,0.0467899343268,3.73967238877,3.96735905045,0.395255129055,0.00968824464232,0,-4.67261613974e-17,1.44247084477
4.13993859174,0.0,47,1.63762538651,327,8,-0.0437616400701,0.0437616400701,3.90351177042,4.14678899083,0.396038986557,0.00981981835356,0,-3.99203131543e-17,1.42068095481
4.06068988917,-1.30856912426e-20,48,1.73532737687,335,9,-0.0473012027341,0.0473012027341,3.8298595377,4.05970149254,0.377890128808,0.00989088379798,1,8.58352772468e-17,1.40135288262
3.82162235639,3.03039039333e-20,49,1.63298231338,336,9,-0.0365190801463,0.0365190801463,3.76816398538,3.99404761905,0.40169887705,0.00641469670688,0,-7.09602056916e-17,1.34067503308
